2-RULES Add validation according to the game rules,"There are some configuration options that are not allowed (for example,\nthe quantity of wheels must be even).\n\nAdd game rules to your validation.\n\n[2-RULES full details](https://rhul-cs-projects.github.io/CS1999-buggy-race-server/project/tasks/#task-2-rules)"
3-ENV Switch between dev and production environments,"Flask behaves differently when it is running in development (""dev"") and\nproduction environments, which you can switch using environment variables. Get\nthat working so you can do your coding in development mode, but work on your\nracing buggy in production mode.\n\nMake sure the configuration is correct and you're using the environment\nvariable `FLASK_ENV` correctly.\n\n[3-ENV full details](https://rhul-cs-projects.github.io/CS1999-buggy-race-server/project/tasks/#task-3-env)"
3-AUTOFILL Add auto-fill to the edit forms,"After you've made your some choices on your buggy form, there are still lots of\nitems to fill in. It would be good to auto-populate empty settings with values\nthat create a complete, viable buggy.\n\nAdd a button that automatically fills the other entries. Maybe these are just\nsensible default values. Or perhaps you can ask for a cost limit when the button\nis pressed, and try to add items so that the buggy's total cost is within that\nlimit.\n\n[3-AUTOFILL full details](https://rhul-cs-projects.github.io/CS1999-buggy-race-server/project/tasks/#task-3-autofill)"
3-MULTI Allow different buggies to be created,"The default app only lets you save **one buggy**. You should be able to save\ndifferent buggies so you can switch between them.\n\nModify the app to create a new buggy and subsequently update it, and to provide\na way to switch between the different buggies you've created.\n\n[3-MULTI full details](https://rhul-cs-projects.github.io/CS1999-buggy-race-server/project/tasks/#task-3-multi)"
3-DEL Allow buggies to be deleted,You have multiple buggies: you should be able to delete ones you don't want.\n\nAdd a `delete` route to remove a buggy.\n\n[3-DEL full details](https://rhul-cs-projects.github.io/CS1999-buggy-race-server/project/tasks/#task-3-del)
3-FLAG Display the pennant graphically,The user's choices for the colours and pattern of the buggy's pennant (flag) is\nvisual information but is probably displayed as text.\n\nShow a graphical representation of the pennant in the browser.\n\n[3-FLAG full details](https://rhul-cs-projects.github.io/CS1999-buggy-race-server/project/tasks/#task-3-flag)
3-TESTS Write some tests,You should be able to run automatic tests that confirm your app calculates the\ncost correctly... as well as other things too.\n\nYou probably know your app works because you've been running it (and playing\nwith it) as you go along. But you should write some _automated_ tests.\n\n[3-TESTS full details](https://rhul-cs-projects.github.io/CS1999-buggy-race-server/project/tasks/#task-3-tests)
4-USERS Add users (and sessions) so you know who is editing a buggy,"Anyone can access your app and edit a buggy: ultimately only the person who\ncreated it should be able to. Add a login mechanism so you can tell the\ndifference between users.\n\nAdd usernames to distinguish between users, and a mechanism for starting and\nending a session (such as logging in and logging out).\n\n[4-USERS full details](https://rhul-cs-projects.github.io/CS1999-buggy-race-server/project/tasks/#task-4-users)"
4-REGISTER Make a new user,Make it possible to create a new user to use when logging in with\n[user logins (4-USER)](#task-4-user).\n\nMake a registration (or sign-in) page with a form for creating new users.\n\n[4-REGISTER full details](https://rhul-cs-projects.github.io/CS1999-buggy-race-server/project/tasks/#task-4-register)
4-OWNER A buggy belongs to a user,Any user can edit any buggy. Only the buggy's creator should be able to edit\n(or delete) it.\n\nAssociate buggies with a specific user and only grant access to buggies to the\nlogged-in user.\n\n[4-OWNER full details](https://rhul-cs-projects.github.io/CS1999-buggy-race-server/project/tasks/#task-4-owner)
4-PASS Add password protection to the users,Anyone can login as any user they like... unless there is a password on user\naccounts.\n\nSet and store a password for each user.\n\n[4-PASS full details](https://rhul-cs-projects.github.io/CS1999-buggy-race-server/project/tasks/#task-4-pass)
5-VIZ Visual representation of the buggy,The buggies are just a bunch of numbers and settings!\n\nConstruct a visual representation of each buggy that shows its configuration.\n\n[5-VIZ full details](https://rhul-cs-projects.github.io/CS1999-buggy-race-server/project/tasks/#task-5-viz)
5-RESET Password reset,"A user who forgets their password can't log in.\n\nThere's no email address associated with a user, so to implement a reset\npassword option perhaps you'll need to add that to the user record, and find a\nway to send an email from within Python. Or use a one-use token system (see\nhints).\n\n[5-RESET full details](https://rhul-cs-projects.github.io/CS1999-buggy-race-server/project/tasks/#task-5-reset)"
5-RACELOG Store a history of race results for the buggies in your app,"You don't know how well different buggies did in their races, but you should\nbe able to see which ones have won more races, and how.\n\nStore and present a log of race results for each buggy.\n\n[5-RACELOG full details](https://rhul-cs-projects.github.io/CS1999-buggy-race-server/project/tasks/#task-5-racelog)"
5-ADMIN Add admin capabilities to superusers,"At least one user should be able to change other users (and admin, or superuser).\n\nUse something like the `is_admin` setting in the users table and add superuser\ncapability for manipulating buggies and users.\n\n[5-ADMIN full details](https://rhul-cs-projects.github.io/CS1999-buggy-race-server/project/tasks/#task-5-admin)"
5-API Use the server API for submitting the buggy data,Manually copying the JSON data from the editor to paste into the race server is\nclunky — use the buggy submission API instead.\n\nAsk for the API specification and implement an **upload to server** feature for\na selected buggy.\n\n[5-API full details](https://rhul-cs-projects.github.io/CS1999-buggy-race-server/project/tasks/#task-5-api)
6-FREE Add custom features to the editor,This task is a freestyle placeholder for other developments to the editor\nonce you've done all the others.\n\nImplement your own custom features.\n\n[6-FREE full details](https://rhul-cs-projects.github.io/CS1999-buggy-race-server/project/tasks/#task-6-free)
